base_date,airport,airport_-1day,airport_-2day,총관광객,내국인,tourist_-1day,tourist_-2day,base_day,fri,mon,sat,sun,thu,tue,wed,평균기온,강수 계속시간(hr),일강수량(mm),최대 풍속(m/s),평균 풍속(m/s),weekend,holiday,holiandweekend,std_airport,month,01,02,03,04,05,06,07,08,09,10,11,12,관광지하차관광객(y)
20181005,2045,3820,3478,17415,14929,31629,36422,fri,1,0,0,0,0,0,0,21.6,24.0,310.0,15.1,6.5,0,0,0,-2.1678121656355738,10,0,0,0,0,0,0,0,0,0,1,0,0,1269
20181006,1889,2045,3820,27387,23671,17415,31629,sat,0,0,1,0,0,0,0,21.1,8.4,27.4,12.7,6.0,1,0,1,-2.2969810784793574,10,0,0,0,0,0,0,0,0,0,1,0,0,1787
20181007,3603,1889,2045,43037,38843,27387,17415,sun,0,0,0,1,0,0,0,20.6,0.0,0.0,3.9,2.3,1,0,1,-0.8777790489008633,10,0,0,0,0,0,0,0,0,0,1,0,0,2734
20181008,3837,3603,1889,37762,33567,43037,27387,mon,0,1,0,0,0,0,0,19.2,0.0,0.0,4.2,2.0,0,0,0,-0.6840256796351879,10,0,0,0,0,0,0,0,0,0,1,0,0,2764
20181009,3907,3837,3603,37850,33773,37762,43037,tue,0,0,0,0,0,1,0,20.3,1.32,0.0,4.5,1.9,0,1,1,-0.6260652700257978,10,0,0,0,0,0,0,0,0,0,1,0,0,2689
20181010,3703,3907,3837,43957,39279,37850,37762,wed,0,0,0,0,0,0,1,18.3,0.58,0.0,7.1,3.4,0,0,0,-0.7949784637445918,10,0,0,0,0,0,0,0,0,0,1,0,0,2638
20181011,3854,3703,3907,42762,38446,43957,37850,thu,0,0,0,0,1,0,0,16.3,0.0,0.0,6.5,3.9,0,0,0,-0.6699495801586217,10,0,0,0,0,0,0,0,0,0,1,0,0,2751
20181012,3599,3854,3703,44520,40253,42762,43957,fri,1,0,0,0,0,0,0,15.6,0.0,0.0,5.9,2.8,0,0,0,-0.8810910723071141,10,0,0,0,0,0,0,0,0,0,1,0,0,2810
20181013,3746,3599,3854,46766,41940,44520,42762,sat,0,0,1,0,0,0,0,15.4,0.0,0.0,3.7,2.0,1,0,1,-0.759374212127395,10,0,0,0,0,0,0,0,0,0,1,0,0,2693
20181014,5035,3746,3599,44048,39986,46766,44520,sun,0,0,0,1,0,0,0,17.6,1.98,0.0,4.3,2.1,1,0,1,0.3079253305369451,10,0,0,0,0,0,0,0,0,0,1,0,0,2466
20181015,4153,5035,3746,44393,40043,44048,46766,mon,0,1,0,0,0,0,0,18.7,0.0,0.0,4.6,2.4,0,0,0,-0.42237583054136985,10,0,0,0,0,0,0,0,0,0,1,0,0,2689
20181016,3627,4153,5035,45031,40602,44393,44048,tue,0,0,0,0,0,1,0,16.1,4.57,3.2,7.2,2.1,0,0,0,-0.8579069084633582,10,0,0,0,0,0,0,0,0,0,1,0,0,2374
20181017,4256,3627,4153,44672,39632,45031,44393,wed,0,0,0,0,0,0,1,16.8,0.0,0.0,3.9,2.1,0,0,0,-0.3370912278304102,10,0,0,0,0,0,0,0,0,0,1,0,0,2630
20181018,4045,4256,3627,44202,39775,44672,45031,thu,0,0,0,0,1,0,0,16.6,0.0,0.0,5.2,3.6,0,0,0,-0.5118004625101431,10,0,0,0,0,0,0,0,0,0,1,0,0,2809
20181019,3698,4045,4256,45424,41102,44202,44672,fri,1,0,0,0,0,0,0,16.1,0.0,0.0,4.8,2.4,0,0,0,-0.7991184930024053,10,0,0,0,0,0,0,0,0,0,1,0,0,2781
20181020,3609,3698,4045,44811,39902,45424,44202,sat,0,0,1,0,0,0,0,16.3,0.0,0.0,4.5,2.3,1,0,1,-0.8728110137914871,10,0,0,0,0,0,0,0,0,0,1,0,0,2572
20181021,4780,3609,3698,42038,38371,44811,45424,sun,0,0,0,1,0,0,0,17.1,0.0,0.0,6.2,2.7,1,0,1,0.09678383838845268,10,0,0,0,0,0,0,0,0,0,1,0,0,2536
20181022,3973,4780,3609,43916,39614,42038,44811,mon,0,1,0,0,0,0,0,17.4,4.37,0.3,3.9,1.9,0,0,0,-0.5714168838226586,10,0,0,0,0,0,0,0,0,0,1,0,0,2513
20181023,4212,3973,4780,42215,37837,43916,42038,tue,0,0,0,0,0,1,0,18.5,0.0,0.0,4.7,2.0,0,0,0,-0.3735234852991696,10,0,0,0,0,0,0,0,0,0,1,0,0,2557
20181024,3703,4212,3973,43227,37099,42215,43916,wed,0,0,0,0,0,0,1,16.8,0.0,0.0,4.1,2.3,0,0,0,-0.7949784637445918,10,0,0,0,0,0,0,0,0,0,1,0,0,2802
20181025,4158,3703,4212,41964,38162,43227,42215,thu,0,0,0,0,1,0,0,17.4,0.0,0.0,7.0,2.9,0,0,0,-0.41823580128355625,10,0,0,0,0,0,0,0,0,0,1,0,0,2691
20181026,3452,4158,3703,43712,39891,41964,43227,fri,1,0,0,0,0,0,0,18.5,3.47,2.7,10.0,3.5,0,0,0,-1.0028079324868333,10,0,0,0,0,0,0,0,0,0,1,0,0,2475
20181027,3736,3452,4158,44703,40337,43712,41964,sat,0,0,1,0,0,0,0,15.6,0.0,0.0,9.2,6.2,1,0,1,-0.7676542706430222,10,0,0,0,0,0,0,0,0,0,1,0,0,2719
20181028,4660,3736,3452,41281,37814,44703,43712,sun,0,0,0,1,0,0,0,17.5,0.0,0.0,8.7,5.0,1,0,1,-0.0025768637990731575,10,0,0,0,0,0,0,0,0,0,1,0,0,2463
20181029,4364,4660,3736,40996,37425,41281,44703,mon,0,1,0,0,0,0,0,18.0,0.0,0.0,6.8,3.8,0,0,0,-0.24766659586163692,10,0,0,0,0,0,0,0,0,0,1,0,0,2405
